# Neurologia - baza pytan
# Format: Pytanie?|A|B|C|D|poprawna_litera

Zalecajac pacjentowi pozostanie na czczo podczas TC/NMR pielegnuiarka ma na uwadze:|Zapobieganie stresowi|Zapobieganie objawom ubocznym po podaniu kontrastu|Zapobieganie skutkom dlugolrwalego badania|Zapobieganie wahaniom RR|B
Rekuboterapia polega na:|Stosowaniu wyciagów|Stosowaniu pozycji drenazowych|Stosowaniu pozycji antalgicznych|Stosowaniu gorsetow usztywniajacych|C
W leczeniu rekuboterapeutycznym ischialgii nie stosuje sie pozycji (pytanie 128):|Reischauera|Loewa|W nadwyproście|Fowlera|D
Dieta nieprawidlowa w przypadku unieruchomienia z zespolach korzeniowych to:|Dieta bogatoblonikowa|Dieta ubogosolna|Dieta lekkostrawna|Dieta ubogoresztkowa|D
Ostatnim etapem usprawniania pacjenta porazonego po udarze mozgowym jest:|Nauka chodzenia|Cwiczenia indywidualizowane ogolnokondycyjne|Pionizacja czynna|Pionizacja bierna|A
Album zwrotow funkcjonalnych to metoda stosowana w:|Rehabilitacji pacjentow ze stwardnieniem rozsianym|Rehabilitacji pacjentow z choroba Parkinsona|Rehabilitacji pacjentow z afazja|Zadnych z wymienionych|C
Zaznacz twierdzenia prawdziwe (pytanie 132):|Padaczka jest choroba zakazna|Leki p/padaczkowe musza byc przyjmowane regularnie|Wiekszost matek moze karmic piersia|Alkohol w nadmiarze moze zwiekszyc ryzyko napadow|E
Do zabiegow wykazujacych dzialanie przeciwbolowe nie nalezy:|Elektrostymulacja|Diatermia krotkofalowa|Galwanizacja|Prady diadynamiczne|B
Dieta pacjenta po urazach kregoslupa nie powinna byc:|Pelnowartosciowa|Niskobialkowa|Zakwaszajaca|Bogata w plyny|B
Dzialanie nieprawidlowe zapobiegajace zaburzeniom snu u pacjentow otepiennych to:|Organizacja zajec w ciagu dnia|Stosowanie technik relaksacyjnych|Wietrzenie pokoju przed snem|Krotkie dremki w ciagu dnia|D
W przypadku plynoutoku usznego nalezy:|Regularnie oczyszczac przewod sluchowy zewnetrzny|Wykonywac okresowe plukanie z uzyciem antybytyku|Wykonac tamponade przewodu sluchowego|Zabezpieczyc przewod sluchowy jaloawym opatrunkiem|D
Problemem pielegnacyjnym w zapaleniu opon wynikajacym z goraczki nie jest:|Wzmozoona potliwosc|Fotofobia|Brak laknienia|Niechec do wspolpracy|B
Nieprawidlowa zasada rehabilitacji pacjentow po udarze mozgowych jest:|Przestrzeganie kolejnosci usprawniania|Stosowanie ciuaglej mobilizacji pacjenta|Niedostarczanie urzadzen pomocniczych do cwiczen|Indywidualizowanie cwiczen dla pacjentow|C
Nie jest dzialaniem prawidlowym w przypadku napadu migrenowego:|Podanie srodka przeciwbolowego jak najpozniej|Odizolowanie cierpiaaacego od nadmiernych bodzcow|Zastosowanie sprawdzonych metod fizykalnych|Zadne z wymienionych|A
Aby zapobiegac zmeczeniu pacjentow w przebiegu SM nie nalezy:|Robic czestych przerw miedzy cwiczeniami|Prowadzic cwiczen gimnastycznych bezposrednio po posilkach|Dostarczac przyrzadow pomocniczych do cwiczen|Pomagac w wykonywaniu meczacych czynnosci|B
Wskaż nieprawidlowe dzialanie wobec pacjenta w ostrym okresie udaru mozgu:|Obowiazuje rezim lozkoowy|Nie obserwuje sie chorego w kierunku zaburzen zatorowo-zakrzepowych|Obserwuje sie podstawowe parametry hemodynamiczne|Obserwuje sie nasilenie objawow neurologicznych|B
W diecie pacjenta z SM nalezy ograniczyc podaz:|Nienasyconych kwasow tluszczowych|Slodyczy|Pieczywa i kasz pelnoziarnistych|Olejow roslinnych|B
W celu utrzymania normowolemii prowadzi sie nastepujace dzialania oprócz:|Monitorowania saturacji|Prowadzenia DZM|Prowadzenia bilansu wodnego|Podazy plynow zgodnie z bilansem wodnym|A
Zaburzenia wykonywania celowych czynnosci ruchowych to:|Ataksja|Apraksja|Akatyzja|Agnozja|B
Dwojenie obrazu przy patrzeniu w dol wynika z uszkodzenia nerwu:|Bloczkowego|Okoruchowego|Odwodzacego|Wzrokowego|A
Niedowidzenie polowicze jednoimienne prawostronne wystepuje przy uszkodzeniu:|Nerwu wzrokowego|Lewego pasma wzrokowego|Prawego pasma wzrokowego|Promienistosci wzrokowej|B
Uszkodzenie nerwu trojdzielnego moze sie wyrazac wyjatkiem:|Zniesienia odruchu rogowkowego|Bolow twarzy|Uposledzeniazczucia na twarzy|Upośledzenia smaku|D
Niemoznosc spojrzenia ku gorze to:|Miedzyjadrowee porazenie galek ocznych|Objaw Parinauda|Objaw Bella|Wrodzona apraksja spojrzenia|B
Uszkodzenie nerwu wzrokowego nie powoduje:|Podwojnego widzenia|Zblednecia tarczy nerwu wzrokowego|Naglej jednostronnej utraty wzroku|Uposledzenia ostrosci wzroku|A
Uszkodzenie nerwu odwodzacego powoduje:|Dwojenie przy patrzeniu w dol|Opadniecie powieki|Zeza zbieznego|Zeza rozbieznego|C
Porazenie nerwu okoruchowego z towarzyszacym przeciwstronnym niedowadem polowiczym to zespol:|Webera|Wallenberga|Opalskiego|Jacksona|A
Objawem zespolu wzgorzowego nie jest:|Polowicza niedoczulica|Polowicze bole|Ataksja polowicza|Polowicza dystonia|C
W sklad zespolu sznurow tylnych wchodza nastepujace objawy poza:|Zaburzenia czucia glebokiego|Ataksja|Wygoro'wanie odruchow|Obnizenie napiecia miesni|C
Objawem uszkodzenia obwodowego neuronu ruchowego nie jest:|Oslabienie sily miesniowej|Zaniki miesni|Zmiany w napieciu miesniowym|Objaw Hoffmana|D
Mutacja genu kodujacego bialko dystrofine lezay u podloza:|Dystrofii miesniowej Duchennea|Dystrofii miesniowej Bekera|Dystrofii oczno-gardzielowej|Dystrofii miesniowej konczynoowo-obreczoowej|A
Objawem uszkodzenia ukladu piramidowego nie jest:|Objaw Babinskiego|Wzmozenie napiecia miesniowego|Wygorowanie odruchow fizjologicznych|Ruchy atetotyczne|D
Ruchy plasawicze sa wynikiem uszkodzenia:|Praazkowia|Istoty czarnej|Miejsca sinawego|Galki bladej|A
Objawem zespolu polowiczego (torebkowego) nie jest:|Osrodkowy niedowlad nerwu twarzowego|Osrodkowy niedowlad nerwu podjezykowego|Polowicze zaburzenia czucia|Niedowidzenie polowicze|C
Uszkodzenie tworu siatkowatego cechuje sie:|Hypermetria|Zaburzeniami swiadomosci|Ruchami atetotycznymi|Wspolruchami patologicznymi|B
Przyczyna udaru niedokrwiennego mozgu nie jest:|Migrena|Czerwienica|Sluzak serca|Przedawkowanie acenokumarolu|D
Do objawow guza okolicy ruchowo-czuciowej nie naleza:|Zaburzenia psychiczne|Napady czesciowe proste|Niedowlad polowiczny|Polowicze zaburzenia czucia|A
Apraksja chodu jest wynikiem uszkodzenia:|Okolicy czolowej|Okolicy skroniowej|Okolicy ciemieniowej|Okolicypotylicznej|A
W badaniu EMG prawidlowego miesnia podczas minimalnego ruchu wystepuje zapis:|Prosty|Interferencyjny|Miogenny|Neurogenny|B
Rytm alfa w EEG to czestotliwosc:|1-2 Hz|3-5 Hz|4-7 Hz|8-13 Hz|D
Embolizacja sluzy do nieoperacyjnego leczenia:|Tetnaikow|Naczywniakow|Przetok tetniczo-zylnych|Wszystkich wymienionych|D
W sklad zespolu rzekomoopuszkowego nie wchodzi:|Dyzartria|Zaniki jezyka|Zaburzenia polykania|Wygorowanie odruchu zuchwoweego|B
Wiad rdzenia w przebiegu kily charakteryzuje sie:|Atonia pecherzaa moczowego i impotencja|Zaburzeniami troficznymi|Objawem Argylla Robertsona|Wszystkimi wymienionymi|D
Porazenie akomodacji, ogolne oslabienie miesni, zaburzenia opuszkowe to objawy:|Boreliozy|Botulizmu|Tezca|Choroby kociego pazura|B
Zmiany chorobowe w gru'zliczym zapaleniu opon umiejscawiaja sie najczesciej:|Na powierzchni mozgu|Na podstawie mozgu|W obrebie mozgu|W obrebie mozdzku|B
Do chorob prionowych nalezy:|Kuru|Postepujaca wieloogniskowa leukoencefalopatia|Choroba Meigea|Choroba z Lyme|A
Do triady objawow w ropnym zapaleniu opon nie nalezy:|Goraczka|Zespol oponowy|Pleocytoza wielojaadrowa|Prawidlowy poziom bialka|D
Charakterystyczny dwuetapowy przebieg z objawami nieeaytowymi a nastepnie zajeciem UN jest charakterystyczny dla:|Gru'zliczego zapalenia opon|Ropnego zapalenia opon|Grzybiczego zapalenia opon|Wirusowego zapalenia opon|D
Proces chorobowy w polpascu obejmuje:|Nerwy obwodowe|Nerwy rdzeniowe|Korzenie nerwowe|Zwoje rdzeniowe|D
Choroba Heinego-Medina to:|Zapalenie zwojow rdzeniowych|Zapalenie rogow przednich rdzenia kregowego|Zapalenie nerwow obwodowych|Zapalenie rogow tylnych rdzenia kregowego|B
W rozpoznaniu podostrego stwardniajacego zapalenia mozgu istotne znaczenie ma:|Stwierdzenie leukocytozy|Wyniki badania psychologicznego|Wyniki badania EEG|Wyniki proby watrobowej|C
Lekiem z wyboru w opryszczkowym zapaleniu mozgu jest:|Karbamazepina|Klonazepam|Paracetamol|Acyklowir|D
Przejsciowe zwiotczenie miesni konczyn tzw. nagle upadki to objaw przejsciowego niedokrwienia:|Tetnicy podstawnej mozgu|Tetnicy przedniej mozgu|Tetnicy srodkowej mozgu|Tetnicy szyjnej wewnetrznej|A
Objawem krwotoku mozdzku nie jest:|Bol w tyloglowiu|Wymioty|Zaburzenia rownowagi|Apraksja|D
Do lekow przeciwobrzekowych stosowanych w krwotoku mozgowym naleza poza:|Deksametazon|Glicerol|Mannitol|Piracetam|D
Przyczyna udaru niedokrwiennego moze byc:|Kolagenoza|Zapalenie zakrzepowe zyl mozgu|Migrena skojarzona|Wszystkie wymienione stany|D
W udarach odwracalnych objawy ustepuja w ciagu:|Tygodnia|4 dni|3 tygodni|24 godzin|A
INR w trakcie kuracji antykoagulacyjnej w prewencji wtornej udaru zatorowego powinien wynosic:|1,0-2,0|2,0-3,0|3,5-4,0|4,0-4,5|B
Zespol Wallenberga powstaje w niedroznosci:|Tetnicy dolnej tylnej mozdzku|Tetnicy mozgu przedniej|Tetnicy mozgu srodkowej|Tetnicy mozgu tylnej|A
W roznicowaniu przejsciowych napadow niedokrwiennych nalezy brac pod uwage:|Migrene z aura|Czesciowe napady padaczkowe|Zapalenie nerwu przedsionkowego|Wszystkie wymienione|D
Poudarowy obrzek mozgu wystepuje:|W 1 dobie udaru|2-5 dni po udarze|6-7 dni po udarze|8-10 dni po udarze|B
Skurcz naczyniowy w krwotoku podpajecznynowkowym zwalcza sie podajac:|Nimodypine|Heparyne|Dekstran|Leki antyfibrynolityczne|A
Jaki odsetek przypadkow udarow stanowia udary zatorowe:|5-10%|10-15%|30-50%|50-60%|B
Ultrasonografia dopplerowska nie umozliwia wykrycia:|Guza mozgu|Mikrozatorowosci mozgowej|Niedroznosci i zwezen tetnic szyjnych|Malformacji naczyniowych|A
Nowotwory przerzutowe stanowia nastepujacy odsetek wszystkich guzow mozgu:|1-2%|3-8%|20-40%|42-60%|C
Brodawczak to guz wywodzacy sie z:|Splotow naczyniowkowych|Komorek oslonki nerwowej|Komorek slabo zroznicowanych|Oligodendrogleju|A
Dla obrazu klinicznego guza w wieku starczym charakterystyczne jest:|Czeste wystepowanie bolow glowy|Przebieg rzekomoudarowy|Rzadkie wystepowanie objawow psychotycznych|Czeste wystepowanie tarczy zastoinowej|B
Uporczywy szum i dzwonienie w uchu oraz postepujaca gluchota sa charakterystyczne dla:|Uszkodzenia blednika|Malformacji naczyniowej mozgu|Guza kata mostowo-mozdzkoowego|Guza mozdzku|C
Do bezposrednich nastepstw urazow czaszki zaliczamy:|Wyciek plynuu mozgowo-rdzeniowego|Cerebrastenie pourazowa|Zespol parkinsonowski|Encefalopaatie pourazowa|A
W jadrach podkorowych zmarlych na chorobe Parkinsona stwierdza sie obnizenie zawartosci:|Dopaminy|Serotoniny|Kwasu glutaminowego|Enkefaliny|A
W porazeniu nerwow strzalkowych wystepuje chod:|Ataktyczny|Kaczkowaty|Brodzacy|Paraparetyczny|C
Dla rozpoznania choroby Wilsona istotne znaczenie ma stwierdzenie:|Podwyzszenia gammaglobulin w plynie mozgowo-rdzeniowym|Obnizenie poziomu ceruloplazminy w surowicy|Podwyzszenie porfobilinogenu i kwasu deltaaminolewulinowego w moczu|Podwyzszenie poziomu zelaza we krwi|B
Dla encefalopatii mocznicowej charakterystyczne jest:|Narastajacy niedowlad polowiczny|Uogolniona sztywnosc miesniowa|Postepujacy zanik nerwu wzrokowego|Grubofaliste drzenia|D
Do miopatii mitochondrialnych naleza nastepujace poza:|Zespol MELAS|Zespol MERRF|Zespol Kearnsa-Sayrea|Choroba Pompego|D
Otepienie podkorowe wystepuje w:|Chorobie Parkinsona|Chorobie Picka|Chorobie Alzheimera|Otepienniu starczym|A
Lagodny przebieg stwardnienia rozsianego wystepuje u okolo:|15% chorych|25% chorych|50% chorych|65% chorych|B
Objawem ubocznym stosowania neuroleptyków moze byc:|Dystonia|Parkinsonizm|Napady wejrzeniowe|Wszystkie wymienione|D
Do objawow choroby Huntingtona nie zaliczamy:|Ruchow plasawiczo-atetotycznych|Zaburzen psychotycznych|Napadow padaczkowych|Drzenia zamiarowego|D
Do leczenia profilaktycznego migreny stosujemy:|Klonidyne|Kwas walproinowy|Imigran|Sterydy|B
Bole glowy z odbicia zwiazane sa z:|Naduzywaniem lekow przeciwbolowych|Wysilkiem fizycznym|Zmianami zwyrodnieniowymi kregoslupa szyjnego|Spozyciem zimnych napojow|A
Zanik krotkich miesni rak oraz niedowlad spastyczny konczyn dolnych sa objawami:|Stwardnienia bocznego zanikowego|Rdzeniowego zaniku miesni|Przewleklej polineuropatii|Zwyrodnienia sznurowego|A
Zespol Browna-Sequarda to:|Poprzeczne uszkodzenie rdzenia|Polowicze uszkodzenie rdzenia|Uszkodzenie ogona konskiego|Uszkodzenie stonozka koncowego|B
W wyniku ostrego niedotlenienia mozgu moga powstac:|Zespol Korsakowa|Zespol psychoorganiczny|Zespol mozdzkoowy|Wszystkie wymienione|D
Oslabienie odruchu z miesnia dwuglowego wystepuje przy uszkodzeniu korzenia:|C5|C7|C8|Th1|A
Ktory z objawow nie jest charakterystyczny dla wklinowania przy skrajnym wzmozeniu cisnienia srodczaszkowego:|Narastanie zaburzen swiadomosci|Narastanie zaburzen oddechowych|Narastanie zaburzen polykania|Obustronny objaw Babinskiego|C
Transfer mioblastow i terapia genowa to nadzieja na leczenie:|Dystrofii miesniowych|Miopatii toksycznych|Miastenii|Porazenia okresowego|A
Do badan przy podejrzeniu stwardnienia rozsianego naleza za wyjatkiem:|Rezonansu magnetycznego|Oznaczenia przeciwcial przeciwko receptorom acetylocholiny|Potencjalow wywolanych|Nakluciao ledwiowego|B
Ktory z objawow nie wystepuje w klasterowym bolu glowy:|Bol w okolicy oczodolu i skroni|Objaw Hornera|Zaczerwienienie oka, obrzek powieki|Prowokowanie napadow przez mowienie, polykanie, ziewanie|D
Ustapienie napadow bolu w przewleklej napadowej hemikranii uzyskuje sie po podaniu:|Indometacyny|Kwasu walproinowego|Dihydroergotaminy|Polomigranu|A
Encefalopatia Wernickego-Korsakowa jest wynikiem niedoboru:|Witaminy A|Witaminy C|Witaminy B1|Witaminy B12|C
Pozytonowa emisyjna tomografia komputerowa umozliwia:|Badanie ukrwienia i metabolizmu mozgu|Rejestracje ruchow galek ocznych|Rejestrowanie pradow czynnosciowych mozgu|Badanie potencjalow wywolanych|A
Do metod prewencji wtornej udaru niedokrwiennego mozgu nalezy:|1,2,3 prawidlowe|1 i 3 prawidlowe|2 i 4 prawidlowe|4 prawidlowe|A
Do parasomnii zaliczamy:|1,2,3 prawidlowe|1 i 3 prawidlowe|2 i 4 prawidlowe|4 prawidlowe|E
W leczeniu stwardnienia rozsianego stosuje sie:|Solu-Medrol i Betaferon|Solu-Medrol i Tensilon|Betaferon i Mestinon|Wszystkie|B
Przyczyna tarczy zastoinowej moze byc:|1,2,3 prawidlowe|1 i 3 prawidlowe|3 i 4 prawidlowe|4 prawidlowe|E
W sklad zespolu oponowego wchodza:|1,2,3 prawidlowe|1 i 3 prawidlowe|2 i 4 prawidlowe|4 prawidlowe|A
Do wskazan wykonania punkcji ledwiowej naleza:|1,2,3 prawidlowe|1 i 3 prawidlowe|2 i 4 prawidlowe|4 prawidlowe|C
W uszkodzeniu neuronu ruchowego obwodowego w EMG pojawia sie zapis neurogenny ktory obejmuje:|Obecnosc roznych potencjalow spoczynkowych|Wydluzenie czasu trwania pojedynczego potencjalu|Wzrost amplitudy pojedynczego potencjalu|Wszystkie wymienione cechy|D
W przebiegu zespolu Guillaina-Barre moga wystapic:|Wysoka pleocytoza w plynie mozgowo-rdzeniowym|Oslabienie ostrosci wzroku|Zajecie miesni oddechowych|Afazja|C
W chorobie Refsuma w organizmie gromadzi sie:|Kwas orotowy|Kwas fitanowy|Amyloid|Porfobilinogen|B
Znamienny zespol objawow ubocznych: oczoplasz, dyzartria, ataksja i sennosc wywoluje:|Winkrystyna|Aspiryna|Penicylamina|Fenytoina|D
Napady czesciowe proste moga przybierac postac z wyjatkiem:|Napadu dysfatycznego z zaburzeniami mowy|Napadu adwersyjnego|Krotkotrwalych iluzji zmyslowych|Napadu nieswiadomosci|D
W padaczce plata skroniowego nie wystepuja:|Napady proste ruchowe|Napady czesciowe zlozone|Napady smiechu|Napady toniczno-kloniczne|A
Padaczka z iglicami w okolicy centralno-skroniowej to:|Zespol Lennoxa-Gastaut|Zespol Westa|Padaczka Rolanda|Padaczka Kozewnikowa|C
Rdzeniak wystepuje glownie u:|Mezczyzn w wieku 20-30 lat|Kobiet w wieku 40-60 lat|Dzieci|Ludzi starszych 70-80 lat|C
Zdjecie czesci skalistej kosci skroniowej metoda Stenversa pozwala wykryc:|Guza kata mostowo-mozdzkoowego|Guza plata czolowego|Guza przysadki|Szyszyniaka|A
W roznicowaniu otepienia pierwotnego od naczyniowego pomocna jest skala:|Botterella|Glasgow|Hachinskiego|Orgogozo|C
Zaburzenia czucia wzdluz przedniej powierzchni uda sa wyrazem uszkodzenia korzeni:|L1-L2|L2-L4|L4-L5|L5-S1|A
Najczestszym schorzeniem ukladu pozapiramidowego jest:|Drzenie samoistne|Choroba tikow|Choroba Parkinsona|Plasawica|A
Cecha zespolu opuszkowego jest:|Opadanie stopy|Opadanie powieki|Dyzartria|Wzmozenie odruchu zuchwoweego|C
Objawem uszkodzenia neuronu ruchowego nie jest:|Oslabienie sily miesniowej|Zmiany w napieciu miesniowym|Objaw Moro|Zanik miesni|C
Korowe zaburzenia mowy to:|Ataksja|Apraksja|Afazja|Agnozja|C
Czestym objawem stwierdzanym u chorych ze stwardnieniem rozsianym jest:|Objaw Blumberga|Objaw Hoffmana|Objaw Lhermitta|Objaw Brudzinskiego|C
W zespole ogona konskiego wystepuje:|Wzmozoone napiecie miesniowe|Przeczulica na konczynych dolnych|Zaburzenia zwieraczy|Wygorowanie odruchow ze sciegna Achillesa|C
Utajony wirus polpasca bytuje w:|Nerwach obwodowych|Nerwach rdzeniowych|Korzeniach nerwowych|Zwojach rdzeniowych|D
Ktory z nerwow odpowiada za zwezenie zrenicy:|Nerw bledny|Nerw odwodzacy|Nerw bloczkowy|Nerw okoruchowy|D
Reka blogoslawiaca wystepuje w uszkodzeniu nerwu:|Promieniowego|Posrodkowego|Pachowego|Lokciowego|B
Cecha charakterystyczna zapisu neurogennego w EMG jest:|Wielofazowoscjednostek PJR|Wysoka amplituda i czas trwania jednostek PJR|Interferencyjny zapis skurczu maksymalnego|Cisza w zapisie spoczynkowym|B
Skala Boterella w modyfikacji Hunta i Hessa sluzy do:|Diagnozowania przyczyn spiacki|Okreslenia przyczyn krwotokow mozgowych|Okreslenia stanu klinicznego chorego z krwotokiem podpajecznynowkowym|Stwierdzenia glebokosci stanu nieprzytomnosci|C
Najczestszym przeciwwskazaniem do wykonania nakluciao ledwiowego jest:|Zapalenie opon mozgowo-rdzeniowych|Wzmozoone cisnienie srodczaszkowe|Zespol Guillaina-Barego|Krwotok podpajecznynowkowy|B
Przed badaniem EEG:|Pacjent powinien zjesc posilek|Nie nalezy podawac lekow dzialajacych na OUN|Chory powinien miec umyte wlosy|Wszystkie odpowiedzi sa prawidlowe|D
Zwezenie zrenicy, opadanie powieki, zapadniecie galki ocznej wskazuje na:|Niedowlad lub porazenie nerwu II|Niedowlad lub porazenie nerwu III|Zespol Hornera|Zespol Hipokampa|C
Ulozenie glowy i tuowia pod katem 30 stopni u chorego po urazie czaszkowo-mozgowym ze wzmozonym cisnieniem srodczaszkowym zapewnia:|Droznosc drog oddechowych|Optymalny drenaz zylny|Komfort choremu|Prawidlowa wentylacje pluc|B
Ktore ze stwierdzen jest bledne dotyczace ulozenia chorych:|Ulozenie na wznak nie jest zalecane, gdyz moze wzmagac spastycznosc|Na boku bark wysuniety do przodu, masa ciala podparta plaszczyza lopatki|Celem zmiany pozycji jest zapobieganie powiklaniom i poprawa samopoczucia|Pozycje na boku nalezy ograniczyc do niedowladu wiotkiego|D
Wykladnikami smierci pnia mozgu sa:|Bezdech, brak reakcji zrenic na swiatlo, brak spontanicznych ruchow galek ocznych|Brak odruchow wymiotnych i kaszelowych, brak odruchu rogowkowego|Brak reakcji na bodzcee bolowe, brak odruchu oczno-mozgowego, bezdech|Wszystkie odpowiedzi sa prawidlowe|D
Otepienie czolowe charakteryzuje sie zaburzeniami pod postacia:|Agnozji, apraksji, afazji|Anomii, apraksji, anizokorii|Aleksji, ambliopi, afazji|Podane odpowiedzi sa bledne|A
Najczestsza przyczyna powstania krwiaka nadtwardowkowego to:|Uszkodzenia opony twardej|Zranienie tetnicy oponowej srodkowej|Uraz tepym narzedziem|Zaburzenia krzepniecia|B
Do czynnikow ryzyka rozwoju odlezyn zaliczamy niedobor witaminy:|Wit. E|Wit. C|Wit. A|Wszystkie odpowiedzi sa prawidlowe|D
Sprawne zwalczanie obrzeku mozgu po udarze umozliwia:|Uniesienie glowy o okolo 30 stopni|Osmoterapia|Odpowiedzi A i B sa nieprawidlowe|Odpowiedzi A i B sa prawidlowe|D
U chorego po udarze niedokrwiennym wskazane jest:|Skrupulatne monitorowanie cisnienia tetniczego|Interwencja farmakologiczna przy cisnieniu skurczowym powyzej 220 mmHg lub rozkurczowym ponad 120 mmHg|Odpowiedzi A i B sa prawidlowe|Szybkie obnizenie cisnienia tetniczego|C
U chorego z zespolem zaniedbywania polowiczego wskazane jest:|Stosowanie bodzcow akustycznych, wzrokowych i dotykowych|Angazowanie strony zaniedbywanej do czynnosci samoobslugi|Odpowiedzi A i B sa poprawne|Odpowiedzi A i B sa niepoprawne|C
U chorego z dyzartria zaleca sie:|Po wypowiedzi pacjenta podanie poprawnego brzmienia slowa|Wzmocnienie komunikowania za pomoca mimiki, gestow, intonacji|Uczenie cwiczen wzmacniajacych miesnie twarzy i warg|Przestrzeganie krotkiego czasu rozmowy|C
U pacjenta z krwawieniem podpajecznynowkowym konieczne jest:|Wykluczenie czynnikow wzmagajacych cisnienie srodczaszkowe|Wczesne uruchamianie chorego|Odpowiedzi A i B sa prawidlowe|Odpowiedzi A i B sa nieprawidlowe|A
Do zaburzen ilosciowych swiadomosci naleza:|Sennosc patologiczna, stupor, spiaczka|Spiaczka, zespol majaczeniowy|Odkorowanie, odmozdzenie, stan splataania|Odpowiedzi A i C sa prawidlowe|A
Badania wykorzystywane w diagnostyce padaczki to:|EEG, video-EEG, MRI glowy|CT glowy, MRI glowy, ENG|SPEKT mozgu, CT glowy, MRI glowy|EEG, EMG, MRI glowy|A
Skala sluzaca do oceny zaawansowania choroby Parkinsona jest:|Skala Schwaba-Englanda|Skala Hoehna-Yahra|Skala Karnofskiego|Skala Barthel|B
Zespol przewleklego zmeczenia charakterystyczny jest dla:|Stwardnienia rozsianego|Zespolu Guillaina-Barego|Choroby Parkinsona|Odpowiedzi A,B i C sa nieprawidlowe|A
Badanie DSA ma zastosowanie u pacjenta z choroba:|Guz mozgu|Niemy tetniak tetnicy laczacej przedniej|Krwawienie podpajecznynowkowe|Odpowiedzi B i C sa prawidlowe|D
W kurczowym krescu karku zmiany anatomopatologiczne wystepuja w:|W korze mozgu|W jadrach podstawnych|W pniu mozgu|W mozdzku|B
Dla rozpoznania ostrej porfirii przerywanej istotne znaczenie ma:|Podwyzszenia gammaglobulin w plynie mozgowo-rdzeniowym|Podwyzszenie ceruloplazminy w surowicy|Podwyzszenie porfobilinogenu i kwasu deltaaminolewulinowego w moczu|Podwyzszenie poziomu zelaza we krwi|C
Dla encefalopatii watrobowej charakterystyczne jest:|Narastajacy niedowlad polowiczny|Uogolniona sztywnosc miesniowa|Postepujacy zanik nerwu wzrokowego|Grubofaliste drzenia|D
Ktore z objawow nie wystepuja w poczatkowej fazie choroby Alzheimera:|Stany lekowe i depresja|Zaburzenia pamieci i krytycyzmu|Zaburzenia afatyczne|Zaburzenia pozapiramidowe|D
Ktore z wstepnych objawow stwardnienia rozsianego rokuje najlepiej:|Porazenia miesni ocznych z parestezjami|Przemijajacy niedowlad nog|Zespol mozdzkoowy|Objawy opuszkowe|A
W plynie mozgowo-rdzeniowym w stwardnieniu rozsianym nie stwierdza sie:|Wzrostu stezenia gammaglobulin|Obecnosci plazmocytow|Obecnosci erytrofagow|Podwyzszenia pleocytozy|C
Do napadow padaczkowych zwiazanych z wiekiem zaliczamy:|Padaczke Rolanda|Napady Jacksona|Napady toniczno-kloniczne|Napady autonomiczne|A
